miRNA,mRNA
hsa-miR-573,WBP2
hsa-miR-421,BTBD3
hsa-miR-421,NASP
hsa-miR-573,SERINC3
hsa-miR-573,SCO1
hsa-miR-573,TPT1
hsa-miR-1299,STARD13
hsa-miR-421,STARD13
hsa-miR-3687,IRS4
hsa-miR-1299,MED10
hsa-miR-3687,AGAP3
hsa-miR-421,IMPA1
hsa-miR-573,AMPD3
hsa-miR-573,ZFC3H1
hsa-miR-421,DPF2
hsa-miR-421,EIF2S1
hsa-miR-421,EDEM1
hsa-miR-4705,MEIS2
hsa-miR-421,NOTCH2
hsa-miR-3687,TRIM45
hsa-miR-4705,CEPT1
hsa-miR-3687,ARF3
hsa-miR-1267,SLC38A2
hsa-miR-1267,LDHA
hsa-miR-573,IL6ST
hsa-miR-1255a,CDC73
hsa-miR-573,ANKRD16
hsa-miR-1299,PHC2
hsa-miR-421,AGO4
hsa-miR-1267,HOOK1
hsa-miR-421,HOOK1
hsa-miR-421,ZCCHC11
hsa-miR-421,DSC2
hsa-miR-4705,DZIP1
hsa-miR-3609,TMED7
hsa-miR-421,GOLM1
hsa-miR-3609,TAOK3
hsa-miR-4705,SYNCRIP
hsa-miR-421,NT5E
hsa-miR-573,NT5E
hsa-miR-421,EPHA7
hsa-miR-573,AKIRIN2
hsa-miR-1299,MAP3K7
hsa-miR-4705,GDF11
hsa-miR-421,HNRNPA1
hsa-miR-421,CD164
hsa-miR-421,CCT7
hsa-miR-421,MDM2
hsa-miR-4705,MDM2
hsa-miR-421,DYNC1LI2
hsa-miR-4705,CEP350
hsa-miR-1255a,DRAM1
hsa-miR-4705,COG3
hsa-miR-1299,KDELR2
hsa-miR-421,KDELR2
hsa-miR-4705,ABHD17C
hsa-miR-421,IREB2
hsa-miR-4705,IREB2
hsa-miR-421,SRSF1
hsa-miR-4705,SRSF1
hsa-miR-1255a,VEZF1
hsa-miR-4705,DCAF7
hsa-miR-421,TRA2B
hsa-miR-3687,CDK5RAP2
hsa-miR-573,SLC31A1
hsa-miR-3687,IL11RA
hsa-miR-1255a,TLN1
hsa-miR-3687,KLC4
hsa-miR-421,ZSCAN9
hsa-miR-1267,PIM1
hsa-miR-1299,MDC1
hsa-miR-1255a,NRM
hsa-miR-1299,FAM8A1
hsa-miR-421,CPEB2
hsa-miR-421,RAB30
hsa-miR-421,RDX
hsa-miR-421,CTDSPL2
hsa-miR-421,HAUS2
hsa-miR-421,RPLP1
hsa-miR-421,FNBP1L
hsa-miR-3609,IFI44L
hsa-miR-421,ARHGAP29
hsa-miR-4705,ADCY3
hsa-miR-421,PREPL
hsa-miR-1267,KIF11
hsa-miR-421,DNAJC13
hsa-miR-4705,BARD1
hsa-miR-421,NAB1
hsa-miR-1255a,PARP9
hsa-miR-1299,PARP9
hsa-miR-1267,SECISBP2L
hsa-miR-3609,TMOD3
hsa-miR-573,KIAA1109
hsa-miR-1299,SCARB2
hsa-miR-421,SCARB2
hsa-miR-1299,USO1
hsa-miR-4705,PPA2
hsa-miR-4705,FGD4
hsa-miR-4705,FAM60A
hsa-miR-421,ETNK1
hsa-miR-421,PEX5
hsa-miR-621,DUSP6
hsa-miR-573,LNX2
hsa-miR-1299,TMBIM6
hsa-miR-421,VPS37B
hsa-miR-4705,RBM26
hsa-miR-1299,CUL4A
hsa-miR-421,STON2
hsa-miR-4705,WDR20
hsa-miR-4705,BNIP2
hsa-miR-1299,ETFA
hsa-miR-1299,HMG20A
hsa-miR-3687,TSPAN3
hsa-miR-573,NCOA2
hsa-miR-421,MESDC1
hsa-miR-1267,ARRDC4
hsa-miR-573,ARRDC4
hsa-miR-1299,SCAMP2
hsa-miR-4705,SEC11A
hsa-miR-1299,PDPK1
hsa-miR-1267,DEF8
hsa-miR-3609,NCOR1
hsa-miR-4705,TOB1
hsa-miR-421,SS18
hsa-miR-1267,GREB1L
hsa-miR-573,GREB1L
hsa-miR-421,NPC1
hsa-miR-1299,FOXK2
hsa-miR-421,CBX4
hsa-miR-421,PMAIP1
hsa-miR-421,SAMD1
hsa-miR-1299,SOD1
hsa-miR-621,SOD1
hsa-miR-4705,SIK1
hsa-miR-421,ZNF614
hsa-miR-573,PGD
hsa-miR-4705,LMO4
hsa-miR-1255a,POU2F1
hsa-miR-3687,PFDN2
hsa-miR-3687,PRCC
hsa-miR-1267,ABL2
hsa-miR-421,ABL2
hsa-miR-4705,MCL1
hsa-miR-421,PIP5K1A
hsa-miR-573,VASH2
hsa-miR-421,UBAP2L
hsa-miR-421,ILF2
hsa-miR-421,GALNT2
hsa-miR-1267,SCCPDH
hsa-miR-1267,MLK4
hsa-miR-4705,SDE2
hsa-miR-1299,CDC42BPA
hsa-miR-4705,LBR
hsa-miR-573,VPS54
hsa-miR-1299,SLC20A1
hsa-miR-421,AMMECR1L
hsa-miR-1299,UBR3
hsa-miR-421,HSPD1
hsa-miR-421,FAM134A
hsa-miR-4705,GOLGA4
hsa-miR-4705,TMF1
hsa-miR-421,PHLDB2
hsa-miR-1299,OSBPL11
hsa-miR-421,LPP
hsa-miR-1299,MARCH1
hsa-miR-4705,RPL37
hsa-miR-421,PLK2
hsa-miR-3609,PIK3R1
hsa-miR-421,RASA1
hsa-miR-421,PAM
hsa-miR-573,SLC30A5
hsa-miR-621,RNF145
hsa-miR-421,G3BP1
hsa-miR-4705,FAXC
hsa-miR-421,PNRC1
hsa-miR-3609,TMEM181
hsa-miR-3609,GNA12
hsa-miR-1267,RBAK
hsa-miR-421,GIGYF1
hsa-miR-421,MEPCE
hsa-miR-4705,NCAPG2
hsa-miR-1267,ZNF711
hsa-miR-1299,CHMP7
hsa-miR-421,TACC1
hsa-miR-1267,WHSC1L1
hsa-miR-421,WHSC1L1
hsa-miR-573,WHSC1L1
hsa-miR-421,LRP12
hsa-miR-421,CEP78
hsa-miR-421,ZNF462
hsa-miR-3609,INIP
hsa-miR-421,SNX30
hsa-miR-1299,SURF4
hsa-miR-421,SEC16A
hsa-miR-421,RSU1
hsa-miR-573,GLUD1
hsa-miR-421,ADD3
hsa-miR-1299,ADAM12
hsa-miR-421,TNKS1BP1
hsa-miR-3687,SSRP1
hsa-miR-421,SLC43A1
hsa-miR-573,PTPRJ
hsa-miR-4705,CELF1
hsa-miR-421,SESN3
hsa-miR-573,INTS4
hsa-miR-421,ZC3H12C
hsa-miR-573,ZC3H12C
hsa-miR-421,NPAT
hsa-miR-1299,ATM
hsa-miR-421,HYOU1
hsa-miR-421,INCENP
hsa-miR-1255a,SOGA1
hsa-miR-3687,YTHDF1
hsa-miR-4705,ITGB1
hsa-miR-4705,LATS2
hsa-miR-4705,WDR17
hsa-miR-4705,CCT5
hsa-miR-421,CRIM1
hsa-miR-1299,UBC
hsa-miR-1299,MAGI1
hsa-miR-421,ANKRD50
hsa-miR-421,EPS8
hsa-miR-4705,FAM160B1
hsa-miR-421,WWC2
hsa-miR-421,PABPC3
hsa-miR-4705,CENPJ
hsa-miR-573,DST
hsa-miR-421,PTPN14
hsa-miR-421,UHMK1
hsa-miR-1267,CCDC50
hsa-miR-421,MBNL1
hsa-miR-421,NADK2
hsa-miR-421,HNRNPDL
hsa-miR-4705,HNRNPDL
hsa-miR-1267,UTRN
hsa-miR-1299,DAB2
hsa-miR-421,CAST
hsa-miR-573,SMARCA5
hsa-miR-421,HNRNPU
hsa-miR-421,NR4A2
hsa-miR-573,RBMS1
hsa-miR-1299,ASAP1
hsa-miR-421,ASAP1
hsa-miR-1255a,UBP1
hsa-miR-421,ZDHHC7
hsa-miR-4705,TRIP12
hsa-miR-621,TRIP12
hsa-miR-4705,HS2ST1
hsa-miR-3609,MSI2
hsa-miR-421,MSI2
hsa-miR-573,ZUFSP
hsa-miR-573,PRKCA
hsa-miR-1299,ABCA5
hsa-miR-1267,UCHL1
hsa-miR-421,NEIL2
hsa-miR-4705,TRIM11
hsa-miR-421,ENAH
hsa-miR-4705,ENAH
hsa-miR-1299,CCSAP
hsa-miR-1299,BUB3
hsa-miR-1255a,C21orf91
hsa-miR-4705,ADAMTS5
hsa-miR-4705,XPC
hsa-miR-1299,PPP4R1
hsa-miR-4705,RAB6B
hsa-miR-573,KLF10
hsa-miR-1255a,AZIN1
hsa-miR-421,AGPAT5
hsa-miR-4705,AGPAT5
hsa-miR-4705,MARVELD1
hsa-miR-4705,ZFYVE27
hsa-miR-573,SLC25A28
hsa-miR-4705,USP25
hsa-miR-421,SLC16A1
hsa-miR-421,MIER3
hsa-miR-4705,NUP205
hsa-miR-573,PSD3
hsa-miR-421,GNAQ
hsa-miR-1299,BACH1
hsa-miR-4705,FAM122B
hsa-miR-3687,HK1
hsa-miR-421,HK1
hsa-miR-421,PHF6
hsa-miR-1255a,MED19
hsa-miR-421,NPTN
hsa-miR-4705,ATAD2
hsa-miR-573,MALSU1
hsa-miR-421,ZFYVE9
hsa-miR-1267,SMG1
hsa-miR-421,SMG1
hsa-miR-4705,CLDN12
hsa-miR-4705,WDR19
hsa-miR-421,SLC37A3
hsa-miR-621,FMNL2
hsa-miR-1267,AAED1
hsa-miR-421,TSR2
hsa-miR-421,ZC3H18
hsa-miR-421,C11orf30
hsa-miR-421,ELK4
hsa-miR-421,SLC45A3
hsa-miR-1299,F11R
hsa-miR-421,IFNAR2
hsa-miR-1299,SON
hsa-miR-3609,SON
hsa-miR-421,SON
hsa-miR-573,SON
hsa-miR-421,SV2A
hsa-miR-421,RCAN1
hsa-miR-421,HLCS
hsa-miR-421,BTG2
hsa-miR-421,STARD9
hsa-miR-421,RSPRY1
hsa-miR-1299,EFCAB14
hsa-miR-4705,CCDC117
hsa-miR-3687,NR2F6
hsa-miR-4705,U2AF1
hsa-miR-421,CSTB
hsa-miR-421,TAOK1
hsa-miR-1255a,NLRX1
hsa-miR-3687,TONSL
hsa-miR-421,YDJC
hsa-miR-4705,GRIN2C
hsa-miR-421,FDXR
hsa-miR-4705,SAP30BP
hsa-miR-421,SRSF2
hsa-miR-1267,EMC10
hsa-miR-1267,RACGAP1
hsa-miR-4705,AMDHD2
hsa-miR-3609,JAK1
hsa-miR-1267,NFIA
hsa-miR-1267,USP1
hsa-miR-421,USP1
hsa-miR-4705,USP1
hsa-miR-421,ZNF326
hsa-miR-1299,ZNF281
hsa-miR-421,FLVCR1
hsa-miR-4705,FLVCR1
hsa-miR-573,BPNT1
hsa-miR-573,CAPN2
hsa-miR-421,KIAA1841
hsa-miR-421,ARL5A
hsa-miR-421,RNF149
hsa-miR-421,CLDN1
hsa-miR-421,PYGO2
hsa-miR-4705,PYGO2
hsa-miR-1267,HIPK1
hsa-miR-1299,HIPK1
hsa-miR-3609,HIPK1
hsa-miR-421,LRRC58
hsa-miR-573,FSTL1
hsa-miR-421,ARPC2
hsa-miR-573,ARPC2
hsa-miR-4705,CCT3
hsa-miR-4705,TGFBR2
hsa-miR-421,EIF5A2
hsa-miR-421,PPP4R2
hsa-miR-4705,PPM1K
hsa-miR-421,U2SURP
hsa-miR-1267,FYCO1
hsa-miR-573,ZNF148
hsa-miR-4705,YEATS2
hsa-miR-421,SNIP1
hsa-miR-4705,RFT1
hsa-miR-421,FAM208A
hsa-miR-1299,PIGX
hsa-miR-421,DNAJB14
hsa-miR-4705,DNAJB14
hsa-miR-3687,DUSP7
hsa-miR-4705,DUSP7
hsa-miR-421,WDR82
hsa-miR-1255a,MAD2L1
hsa-miR-1255a,STARD4
hsa-miR-421,PRRC1
hsa-miR-1299,TLR3
hsa-miR-1267,CCDC127
hsa-miR-1299,SFXN1
hsa-miR-3687,ANKRD55
hsa-miR-421,RPS14
hsa-miR-421,C7orf60
hsa-miR-421,DLC1
hsa-miR-421,OXR1
hsa-miR-4705,FZD6
hsa-miR-1255a,ZHX1
hsa-miR-421,KIAA1958
hsa-miR-421,STRBP
hsa-miR-3687,ZNF367
hsa-miR-421,ARHGAP12
hsa-miR-421,REEP3
hsa-miR-4705,REEP3
hsa-miR-3609,C10orf25
hsa-miR-3609,ARF6
hsa-miR-1299,NSD1
hsa-miR-4705,PRDX3
hsa-miR-1267,ARL5B
hsa-miR-421,ARL5B
hsa-miR-573,ARL5B
hsa-miR-4705,HIF1AN
hsa-miR-421,SGPL1
hsa-miR-421,FRS2
hsa-miR-1299,WBP1L
hsa-miR-421,TPP1
hsa-miR-421,RNF169
hsa-miR-4705,CASC4
hsa-miR-573,NAV2
hsa-miR-1299,PLK1
hsa-miR-1299,PIP4K2C
hsa-miR-421,YWHAB
hsa-miR-621,YWHAB
hsa-miR-421,COQ7
hsa-miR-3687,ENGASE
hsa-miR-1299,TBC1D16
hsa-miR-421,MIDN
hsa-miR-4705,MIDN
hsa-miR-421,RPL13
hsa-miR-3687,LENG8
hsa-miR-3687,EEF2
hsa-miR-573,EEF2
hsa-miR-421,NXN
hsa-miR-421,SLC3A2
hsa-miR-421,C2CD3
hsa-miR-421,SF1
hsa-miR-421,SETD5
hsa-miR-421,MMADHC
hsa-miR-4705,SEPT2
hsa-miR-1255a,MFSD2A
hsa-miR-421,TAP1
hsa-miR-1299,STIP1
hsa-miR-1299,STAT3
hsa-miR-421,ADAM9
hsa-miR-573,ADAM9
hsa-miR-421,FAM84B
hsa-miR-573,TET2
hsa-miR-4705,ZNF507
hsa-miR-421,MAT2A
hsa-miR-1255a,FEM1B
hsa-miR-421,FEM1B
hsa-miR-1267,HNRNPH1
hsa-miR-3687,HNRNPH1
hsa-miR-421,UBE2V2
hsa-miR-421,PRELID1
hsa-miR-421,MMGT1
hsa-miR-421,GPS1
hsa-miR-421,HNRNPF
hsa-miR-4705,HNRNPF
hsa-miR-421,SYAP1
hsa-miR-421,TOR1AIP2
hsa-miR-421,TM4SF1
hsa-miR-573,KLF13
hsa-miR-4705,ZFPM2
hsa-miR-3687,ZNF768
hsa-miR-1255a,MAP3K2
hsa-miR-4705,YWHAG
hsa-miR-4705,ZNF778
hsa-miR-421,SIK2
hsa-miR-421,GLB1
hsa-miR-1299,UBB
hsa-miR-421,TMED10
hsa-miR-3687,CD14
hsa-miR-1299,ELOVL6
hsa-miR-421,KIF5B
hsa-miR-4705,CHCHD7
hsa-miR-1255a,ZNF160
hsa-miR-1255a,S1PR1
hsa-miR-421,S1PR1
hsa-miR-4705,INSR
hsa-miR-421,SOCS5
hsa-miR-4705,CHD7
hsa-miR-573,ASXL1
hsa-miR-421,LRRC8C
hsa-miR-421,ATF7IP
hsa-miR-4705,BCL2
hsa-miR-421,ZNF217
hsa-miR-1255a,JMJD1C
hsa-miR-421,JMJD1C
hsa-miR-421,KLF11
hsa-miR-573,CEBPB
hsa-miR-4705,C5orf34
hsa-miR-1299,CERS6
hsa-miR-1299,RCAN2
hsa-miR-421,GNG12
hsa-miR-1299,ZNF24
hsa-miR-1267,HCFC1
hsa-miR-421,PDE3A
hsa-miR-421,ZMAT3
hsa-miR-1255a,DCP2
hsa-miR-1299,SP3
hsa-miR-421,DMXL1
hsa-miR-1255a,TADA2B
hsa-miR-1299,RELA
hsa-miR-421,FAM222B
hsa-miR-1267,ESRRA
hsa-miR-1267,GOLGB1
hsa-miR-573,PPP1R3B
hsa-miR-1267,TRIB1
hsa-miR-1299,PTPRM
hsa-miR-421,PEAK1
hsa-miR-421,NABP1
hsa-miR-4705,NABP1
hsa-miR-421,EIF1AX
hsa-miR-4705,CXorf23
hsa-miR-1299,PSMD1
hsa-miR-421,TOMM20
hsa-miR-421,RNF213
hsa-miR-4705,USMG5
hsa-miR-1267,UBXN2A
hsa-miR-4705,RGMB
hsa-miR-1267,C12orf66
hsa-miR-573,ADCY6
hsa-miR-4705,ZHX3
hsa-miR-421,MSL2
hsa-miR-421,KIAA1551
hsa-miR-573,RPL15
hsa-miR-4705,DENND6A
hsa-miR-573,VCPIP1
hsa-miR-421,CKAP5
hsa-miR-4705,CKAP5
hsa-miR-421,SMAD2
hsa-miR-4705,TMEM70
hsa-miR-421,UBE2O
hsa-miR-421,LYSMD3
hsa-miR-3687,DIRAS1
hsa-miR-4705,SOX11
hsa-miR-421,PNMA1
hsa-miR-421,NFATC2IP
hsa-miR-3609,FBXO46
hsa-miR-1255a,RHOG
hsa-miR-421,ANO6
hsa-miR-421,ULK1
hsa-miR-1255a,CHD9
hsa-miR-4705,PAWR
hsa-miR-3687,TBL1XR1
hsa-miR-421,TBL1XR1
hsa-miR-421,HNRNPA0
hsa-miR-1299,ASB8
hsa-miR-573,PDE4DIP
hsa-miR-421,SUZ12
hsa-miR-1299,FBXO34
hsa-miR-4705,MRFAP1
hsa-miR-573,MRFAP1
hsa-miR-4705,TMEM107
hsa-miR-621,ZBTB18
hsa-miR-421,SERTAD2
hsa-miR-421,SEPHS2
hsa-miR-573,ZNF816
hsa-miR-421,ZNF609
hsa-miR-421,SLC36A4
hsa-miR-421,ZNF792
hsa-miR-3687,HIST3H2A
hsa-miR-573,POLR2A
hsa-miR-1267,TMEM136
hsa-miR-421,RAP2B
hsa-miR-421,MEX3D
hsa-miR-573,PHLDA2
hsa-miR-421,YIPF6
hsa-miR-421,COPG1
hsa-miR-421,ADO
hsa-miR-1299,TRAK1
hsa-miR-421,ACBD3
hsa-miR-1299,C11orf54
hsa-miR-421,SRPR
hsa-miR-421,GJC1
hsa-miR-1255a,MTA1
hsa-miR-1267,MTA1
hsa-miR-4705,CBX6
hsa-miR-4705,ZNF703
hsa-miR-621,SETD8
hsa-miR-1255a,ZBTB40
hsa-miR-421,UBE2G2
hsa-miR-421,NDUFA6
hsa-miR-421,ROBO2
hsa-miR-1255a,ATP6V0A2
hsa-miR-421,NR2F2
hsa-miR-1299,SP1
hsa-miR-4705,PCGF3
hsa-miR-421,ZFP36L1
hsa-miR-4705,BRWD1
hsa-miR-421,POMK
hsa-miR-4705,PAGR1
hsa-miR-1299,ZNF267
hsa-miR-421,RASA3
hsa-miR-421,ZNF284
hsa-miR-1255a,POLR3C
hsa-miR-421,PPP1CC
hsa-miR-421,RPS23
hsa-miR-4705,INSIG1
hsa-miR-1299,ARAP1
hsa-miR-4705,ZFP91
hsa-miR-421,PPARA
hsa-miR-573,TEAD1
hsa-miR-573,FNBP1
hsa-miR-421,RSBN1L
hsa-miR-1255a,TET3
hsa-miR-421,FOCAD
hsa-miR-4705,LDOC1L
hsa-miR-421,PTAR1
hsa-miR-421,MTF1
hsa-miR-1299,BEND4
hsa-miR-421,ZNF292
hsa-miR-421,LITAF
hsa-miR-421,KAZN
hsa-miR-421,ZNF766
hsa-miR-4705,LCOR
hsa-miR-4705,IARS
hsa-miR-4705,SIAH1
hsa-miR-421,NACA
hsa-miR-4705,MYO6
hsa-miR-4705,ZKSCAN5
hsa-miR-3609,NF1
hsa-miR-4705,NF1
hsa-miR-573,CD47
hsa-miR-421,HIST1H2AG
hsa-miR-4705,MVB12B
hsa-miR-573,NHLRC2
hsa-miR-421,ARHGEF12
hsa-miR-573,CASP4
hsa-miR-1255a,FUT11
hsa-miR-421,ANXA4
hsa-miR-1299,ZSCAN25
hsa-miR-1267,GMFB
hsa-miR-421,GMFB
hsa-miR-421,IGF2R
hsa-miR-1299,DYNC1H1
hsa-miR-4705,TBC1D9B
hsa-miR-421,HNRNPAB
hsa-miR-3609,ZNF81
hsa-miR-1299,OCLN
hsa-miR-573,ZNF677
hsa-miR-621,LPAR1
hsa-miR-1299,MAN1A2
hsa-miR-3609,HELZ
hsa-miR-4705,SDAD1
hsa-miR-421,ASPH
hsa-miR-573,GFPT1
hsa-miR-1299,KLHL9
hsa-miR-4705,CALM1
hsa-miR-421,PAPSS2
hsa-miR-421,PPP1R14C
hsa-miR-421,MTOR
hsa-miR-421,FOXJ3
hsa-miR-1255a,OPA1
hsa-miR-621,DCAF12
hsa-miR-4705,PRC1
hsa-miR-1299,MAP3K3
hsa-miR-421,POU3F3
hsa-miR-421,MFAP3L
hsa-miR-1267,CHML
hsa-miR-421,CHML
hsa-miR-4705,GDI1
hsa-miR-421,MAFB
hsa-miR-3687,RUFY2
hsa-miR-421,BRD2
hsa-miR-1267,PRRC2A
hsa-miR-3687,GNL1
hsa-miR-573,GNB2L1
hsa-miR-4705,RANBP17
hsa-miR-421,IPO7
hsa-miR-1255a,SAMD9
hsa-miR-1255a,LIN52
hsa-miR-4705,HN1L
hsa-miR-421,TRIM71
hsa-miR-421,SACM1L
hsa-miR-1299,TSN
hsa-miR-1267,NRAS
hsa-miR-421,NRAS
hsa-miR-4705,VDAC1
hsa-miR-421,LEPROT
hsa-miR-4705,DDX47
hsa-miR-421,ZNF845
hsa-miR-421,NUDT19
hsa-miR-421,ALG3
hsa-miR-4705,DDX3X
hsa-miR-573,FNIP1
hsa-miR-573,CEBPD
hsa-miR-421,TMEM185B
hsa-miR-573,HLA-DPA1
hsa-miR-421,ZNF736
hsa-miR-421,ZBED5
hsa-miR-421,RBM14
hsa-miR-421,TMEM189
hsa-miR-3687,ATP5O
hsa-miR-1299,MRPL20
hsa-miR-1255a,ZNF550
hsa-miR-3609,PCDHGB6
hsa-miR-421,ATXN7L3B
hsa-miR-421,PRKDC
hsa-miR-4705,PRKDC
hsa-miR-421,KIAA1147
hsa-miR-421,CUX1
hsa-miR-421,RBM15B
hsa-miR-421,GAN
hsa-miR-421,DYNLL2
hsa-miR-4705,DYNLL2
hsa-miR-1255a,RBM8A
hsa-miR-421,ZNF850
hsa-miR-3687,EGLN2
hsa-miR-421,DCP1A
hsa-miR-1299,CYFIP1
hsa-miR-1255a,HIST1H2BG
hsa-miR-1267,HIST1H2BG
hsa-miR-421,SOCS7
hsa-miR-421,MLLT6
hsa-miR-4705,MLLT6
hsa-miR-421,SMEK2
hsa-miR-4705,MARCKS
hsa-miR-421,DDX52
hsa-miR-421,ABAT
hsa-miR-421,ABCA9
hsa-miR-421,ABI2
hsa-miR-421,AC019171.1
hsa-miR-421,ACSL3
hsa-miR-421,ADAM12
hsa-miR-421,AFF3
hsa-miR-421,AGFG1
hsa-miR-421,AK4
hsa-miR-421,AKAP1
hsa-miR-421,ANKRD13C
hsa-miR-421,ANKRD17
hsa-miR-421,ANKS1B
hsa-miR-421,AP5M1
hsa-miR-421,APBB2
hsa-miR-421,APPBP2
hsa-miR-421,APPL1
hsa-miR-421,AQP6
hsa-miR-421,ARGLU1
hsa-miR-421,ARHGAP26
hsa-miR-421,ARHGAP35
hsa-miR-421,ARHGAP5
hsa-miR-421,ARHGEF9
hsa-miR-421,ARL4C
hsa-miR-421,ARMC8
hsa-miR-421,ARX
hsa-miR-421,ATP8A2
hsa-miR-421,ATXN1
hsa-miR-421,ATXN3
hsa-miR-421,AURKA
hsa-miR-421,BACH2
hsa-miR-421,BCLAF1
hsa-miR-421,BCOR
hsa-miR-421,BEND3
hsa-miR-421,BEND4
hsa-miR-421,BLOC1S5
hsa-miR-421,BMF
hsa-miR-421,BTG1
hsa-miR-421,C11orf87
hsa-miR-421,C16orf87
hsa-miR-421,C17orf85
hsa-miR-421,C1orf52
hsa-miR-421,C3orf14
hsa-miR-421,C3orf38
hsa-miR-421,C6orf141
hsa-miR-421,CACNA1C
hsa-miR-421,CAMK2D
hsa-miR-421,CAPRIN1
hsa-miR-421,CASD1
hsa-miR-421,CASP8
hsa-miR-421,CD109
hsa-miR-421,CDC73
hsa-miR-421,CDCA7
hsa-miR-421,CDK20
hsa-miR-421,CFL2
hsa-miR-421,CHD2
hsa-miR-421,CHD7
hsa-miR-421,CHST7
hsa-miR-421,CISD1
hsa-miR-421,CLCN3
hsa-miR-421,CLDN11
hsa-miR-421,CLIP2
hsa-miR-421,CMTM4
hsa-miR-421,CNIH4
hsa-miR-421,CNOT4
hsa-miR-421,CNOT6L
hsa-miR-421,COA4
hsa-miR-421,CORO1C
hsa-miR-421,CORO2A
hsa-miR-421,CPLX1
hsa-miR-421,CPNE4
hsa-miR-421,CRYZ
hsa-miR-421,CS
hsa-miR-421,CTH
hsa-miR-421,CUL3
hsa-miR-421,CUL4B
hsa-miR-421,CXorf23
hsa-miR-421,CYP7B1
hsa-miR-421,DCPS
hsa-miR-421,DCUN1D1
hsa-miR-421,DDA1
hsa-miR-421,DDI2
hsa-miR-421,DGCR14
hsa-miR-421,DGKB
hsa-miR-421,DHDDS
hsa-miR-421,DTX1
hsa-miR-421,EDEM3
hsa-miR-421,EGFR
hsa-miR-421,EIF2S2
hsa-miR-421,EIF3M
hsa-miR-421,ELAVL2
hsa-miR-421,ELK3
hsa-miR-421,ELMOD1
hsa-miR-421,ENOSF1
hsa-miR-421,ENPP6
hsa-miR-421,ENTPD1
hsa-miR-421,EPB41L4B
hsa-miR-421,EPSTI1
hsa-miR-421,ERCC6L2
hsa-miR-421,ESCO1
hsa-miR-421,FAM126B
hsa-miR-421,FAM206A
hsa-miR-421,FAM49B
hsa-miR-421,FAR1
hsa-miR-421,FBXL17
hsa-miR-421,FBXL4
hsa-miR-421,FCHSD2
hsa-miR-421,FGF13
hsa-miR-421,FGF14
hsa-miR-421,FLRT2
hsa-miR-421,FMO2
hsa-miR-421,FNIP2
hsa-miR-421,FRRS1L
hsa-miR-421,FRS3
hsa-miR-421,FUBP1
hsa-miR-421,FZD8
hsa-miR-421,G6PC3
hsa-miR-421,GAS7
hsa-miR-421,GCNT2
hsa-miR-421,GEMIN6
hsa-miR-421,GHR
hsa-miR-421,GLIPR1
hsa-miR-421,GPBP1
hsa-miR-421,GPRIN3
hsa-miR-421,GRM8
hsa-miR-421,GSE1
hsa-miR-421,GTDC1
hsa-miR-421,H1F0
hsa-miR-421,HMG20A
hsa-miR-421,HMGB2
hsa-miR-421,HNRNPUL2
hsa-miR-421,HSBP1
hsa-miR-421,IGSF3
hsa-miR-421,IL6ST
hsa-miR-421,IRS1
hsa-miR-421,ISCA2
hsa-miR-421,ITGB5
hsa-miR-421,JAKMIP2
hsa-miR-421,KAT6A
hsa-miR-421,KAT7
hsa-miR-421,KCMF1
hsa-miR-421,KCNJ10
hsa-miR-421,KDM2A
hsa-miR-421,KIAA0226L
hsa-miR-421,KIAA0753
hsa-miR-421,KIAA0895L
hsa-miR-421,KIAA2026
hsa-miR-421,KIF1C
hsa-miR-421,KIF3C
hsa-miR-421,KNTC1
hsa-miR-421,KPNA4
hsa-miR-421,KRAS
hsa-miR-421,LARP4B
hsa-miR-421,LDLRAD4
hsa-miR-421,LEF1
hsa-miR-421,LONRF3
hsa-miR-421,LRRC4
hsa-miR-421,LZIC
hsa-miR-421,MAGED1
hsa-miR-421,MAP3K12
hsa-miR-421,MAP3K2
hsa-miR-421,MAP7
hsa-miR-421,MCMBP
hsa-miR-421,MED13
hsa-miR-421,MED4
hsa-miR-421,MEF2C
hsa-miR-421,MEIS1
hsa-miR-421,MEIS2
hsa-miR-421,METTL8
hsa-miR-421,MFSD6
hsa-miR-421,MGAT5
hsa-miR-421,MITF
hsa-miR-421,MPRIP
hsa-miR-421,MTA1
hsa-miR-421,MXI1
hsa-miR-421,MYO1F
hsa-miR-421,NAA60
hsa-miR-421,NCAM1
hsa-miR-421,NCBP2
hsa-miR-421,NCS1
hsa-miR-421,NFIB
hsa-miR-421,NHLRC2
hsa-miR-421,NLE1
hsa-miR-421,NMB
hsa-miR-421,NPFFR1
hsa-miR-421,NPHP3
hsa-miR-421,NR2C2
hsa-miR-421,NR3C2
hsa-miR-421,NRG2
hsa-miR-421,NSUN4
hsa-miR-421,OCIAD1
hsa-miR-421,ONECUT2
hsa-miR-421,OPA1
hsa-miR-421,PACRGL
hsa-miR-421,PAIP2B
hsa-miR-421,PANK2
hsa-miR-421,PANK3
hsa-miR-421,PAPOLG
hsa-miR-421,PCGF5
hsa-miR-421,PCTP
hsa-miR-421,PDCD4
hsa-miR-421,PDE4B
hsa-miR-421,PDGFRA
hsa-miR-421,PDK3
hsa-miR-421,PFKFB2
hsa-miR-421,PGBD1
hsa-miR-421,PGM3
hsa-miR-421,PICALM
hsa-miR-421,PIGA
hsa-miR-421,PIPOX
